mileage,make,model,fuel,gear,offerType,price,hp,year
147000,toyota,auris,Electric/Gasoline,Automatic,Used,6950,99,2011
84600,toyota,yaris,Electric/Gasoline,Automatic,Used,8990,143,2014
23490,audi,a6,Electric/Gasoline,Automatic,Used,59440,367,2020
19000,audi,q5,Electric/Gasoline,Automatic,Demonstration,59850,367,2020
999,audi,a7,Electric/Gasoline,Automatic,Used,66890,367,2020
15,fiat,panda,Electric/Gasoline,Manual,Pre-registered,10680,69,2021
15,fiat,panda,Electric/Gasoline,Manual,Pre-registered,10980,69,2021
98669,toyota,yaris,Electric/Gasoline,Automatic,Used,7900,75,2012
82822,toyota,yaris,Electric/Gasoline,Automatic,Used,8500,75,2013
118070,toyota,yaris,Electric/Gasoline,Automatic,Used,8900,75,2013
33000,renault,zoe,Electric,Automatic,Used,8495,58,2016
3500,others,unknown model,Electric,Manual,Used,5500,38,2018
8100,mercedes-benz,e 300,Electric/Diesel,Automatic,Demonstration,45890,194,2019
70500,lexus,rx 450h,Electric/Gasoline,Automatic,Used,47490,313,2019
2300,volvo,xc60,Electric/Gasoline,Automatic,Demonstration,64800,392,2019
9990,ford,fiesta,Electric/Gasoline,Manual,Employee's car,15970,125,2020
6315,ford,fiesta,Electric/Gasoline,Manual,Employee's car,16450,125,2020
10,hyundai,ioniq,Electric,Manual,Demonstration,27670,120,2019
15000,toyota,camry,Electric/Gasoline,Automatic,Used,27990,218,2019
10,ford,fiesta,Electric/Gasoline,Manual,Demonstration,20950,125,2020
10,hyundai,ioniq,Electric/Gasoline,Automatic,Demonstration,21250,105,2020
2248,ford,focus,Electric/Gasoline,Manual,Used,21450,125,2020
5,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,37970,230,2021
18,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,37988,230,2021
10,hyundai,tucson,Electric/Gasoline,Automatic,Demonstration,38387,230,2021
10,hyundai,tucson,Electric/Gasoline,Automatic,Pre-registered,38440,265,2021
5,jeep,compass,Electric/Gasoline,Automatic,Demonstration,39890,179,2021
2900,cupra,leon,Electric/Gasoline,Automatic,Used,39990,245,2021
2500,cupra,formentor,Electric/Gasoline,Automatic,Demonstration,39990,245,2021
2500,opel,grandland x,Electric/Gasoline,Automatic,Used,40780,300,2021
16900,toyota,yaris,Electric/Gasoline,Automatic,Used,15900,102,2018
20647,hyundai,ioniq,Electric/Gasoline,Automatic,Used,16990,141,2018
37000,toyota,c-hr,Electric/Gasoline,Automatic,Used,17900,98,2018
16203,audi,q5,Electric/Gasoline,Automatic,Used,52170,367,2019
9853,volkswagen,passat variant,Electric/Gasoline,Automatic,Used,34390,218,2020
14900,audi,a3,Electric/Gasoline,Automatic,Demonstration,34750,204,2020
9190,volkswagen,id.3,Electric,Automatic,Used,34920,204,2020
8000,ford,kuga,Electric/Gasoline,Automatic,Used,34950,224,2020
4900,peugeot,508,Electric/Gasoline,Automatic,Demonstration,58373,360,2021
1500,volvo,xc40,Electric,Automatic,Demonstration,64890,408,2021
5000,volvo,s60,Electric/Gasoline,Automatic,Demonstration,65880,392,2021
1000,volvo,xc40,Electric,Automatic,Demonstration,69880,408,2021
10,volvo,xc60,Electric/Gasoline,Automatic,Demonstration,77480,341,2021
10,volvo,xc60,Electric/Gasoline,Automatic,Demonstration,77860,253,2021
89679,toyota,auris,Electric/Gasoline,Automatic,Used,8690,99,2012
20000,peugeot,ion,Electric,Automatic,Used,8815,67,2016
20411,smart,fortwo,Electric,Automatic,Used,11749,82,2019
10,fiat,500c,Electric/Gasoline,Manual,Pre-registered,15990,69,2021
10,renault,zoe,Electric,Automatic,Used,15990,109,2021
32900,renault,zoe,Electric,Automatic,Used,6250,58,2014
17200,bmw,i3,Electric/Gasoline,Automatic,Used,23400,170,2017
80000,bmw,330,Electric/Gasoline,Automatic,Used,24499,252,2017
6484,toyota,prius,Electric/Gasoline,Automatic,Used,24500,122,2019
5477,bmw,i3,Electric,Automatic,Used,25860,170,2019
27000,audi,a4,Electric/Gasoline,Automatic,Used,25999,150,2019
22044,toyota,corolla,Electric/Gasoline,Automatic,Used,26400,184,2019
4,audi,a3,Electric/Gasoline,Automatic,Pre-registered,36900,204,2021
1,seat,leon,Electric/Gasoline,Automatic,Used,45990,245,2021
2545,seat,tarraco,Electric/Gasoline,Automatic,Used,46990,245,2021
38000,renault,zoe,Electric,unknown gear,Used,8750,88,2016
20,mazda,mx-30,Electric,Automatic,Pre-registered,22495,145,2020
25,hyundai,ioniq,Electric/Gasoline,Automatic,Pre-registered,23990,105,2020
20,hyundai,ioniq,Electric/Gasoline,Automatic,Used,24444,141,2020
68649,mercedes-benz,glc 350,Electric/Gasoline,Automatic,Used,32999,211,2018
10,fiat,500,Electric/Gasoline,Manual,Pre-registered,11488,69,2021
56680,toyota,yaris,Electric/Gasoline,Automatic,Used,9450,101,2013
2500,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,30880,188,2019
12500,audi,e-tron,Electric,Automatic,Demonstration,85690,408,2020
15,fiat,500,Electric/Gasoline,Manual,Pre-registered,12780,69,2021
99000,toyota,auris,Electric/Gasoline,Automatic,Used,8500,99,2012
2900,others,unknown model,Electric,Automatic,Used,7900,5,2018
21185,ford,puma,Electric/Gasoline,Manual,Employee's car,20470,155,2020
4445,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,22960,188,2020
2465,ford,mondeo,Electric/Gasoline,Automatic,Employee's car,23450,188,2020
3000,mercedes-benz,eqc 400,Electric,Automatic,Demonstration,69890,197,2021
32525,renault,kangoo,Electric,Automatic,Used,4999,60,2012
340000,toyota,auris,Electric/Gasoline,Automatic,Used,6290,99,2015
86268,renault,zoe,Electric,Automatic,Used,6490,58,2015
16624,kia,soul,Electric,Automatic,Demonstration,31990,204,2019
2028,ford,puma,Electric/Gasoline,Manual,Used,21680,125,2020
13873,ford,puma,Electric/Gasoline,Manual,Used,21890,125,2020
2691,opel,corsa,Electric,Automatic,Used,21950,136,2020
50,ford,fiesta,Electric/Gasoline,Manual,Pre-registered,22285,155,2020
